File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Kirundi_Length
,Urukwâvu rurakúra rukōnka umwâna.,"À mesure que vos parents vieillissent, il devient de votre devoir de prendre soin d'eux.","As your parents age, it becomes your duty to care for them.",proverbs,,,,,,,33.0
,Urukâmvye rumara umugabo.,"Dans les batailles les plus féroces, ce sont souvent les cœurs les plus braves qui rencontrent leur fin.","In the fiercest battles, it's often the bravest hearts that meet their end.",proverbs,,,,,,,25.0
,Urukûndo rutarímwo umukûnzi ntírurāmbá.,"L'amour sans aimé est comme une flamme sans combustible, il ne peut perdurer.","Love without a beloved is like a flame without fuel, it cannot endure.",proverbs,,,,,,,39.0
,Urukûndo rwītūzwa urŭndi.,La monnaie de l'amour est la réciprocité.,Love's currency is reciprocity.,proverbs,,,,,,,25.0
,Urupfú rw'îmbwá ní inyama.,Le décès d'un chien a peu d'importance.,The passing of a dog holds little significance.,proverbs,,,,,,,26.0
,Ururími ntírwōnzá umukŏbwa.,Le vent des ragots ne change pas la forme d'un rocher.,The wind of gossip doesn't change a rock's shape.,proverbs,,,,,,,27.0
,Ururími rw'ŭmwe rukamwa ayěra.,"Ne croyez pas tout ce que vous entendez, mais pesez-le contre différentes langues.","Believe not all that you hear, but weigh it against different tongues.",proverbs,,,,,,,30.0
,Urushana ni runini kandi rurakanye.,L'hiver est long et froid.,Winter is long and cold.,general,,,,,,,35.0
,Urushana ni rurerure kandi rurakanye.,L'hiver est long et froid.,Winter is long and cold.,general,,,,,,,37.0
,Uruturūmbwe ruca ku ruhîye.,Le favoritisme peut éclipser les qualifications dans le choix.,Favoritism can eclipse qualifications in the choice.,proverbs,,,,,,,27.0
,Uruyoya ruriko rurarira.,Le bébé pleure.,The baby is crying.,general,,,,,,,24.0
,Urwo rwego rusabwa na bose.,Ce niveau est requis par tous.,This level is required by everyone.,general,,,,,,,27.0
,Urwânko rutēsha urwârwá.,La haine engendre la destruction et le mal.,Hatred breeds destruction and harm.,proverbs,,,,,,,24.0
,Urwĭba rwība umugabo.,Un voleur habile peut entrer dans une forteresse.,A skilled thief can enter a fortress.,proverbs,,,,,,,21.0
,Urya cāne ukīroga inzara.,Manger excessivement peut faire de la faim votre compagne constante.,Excessive eating can make hunger your constant companion.,proverbs,,,,,,,25.0
,Urya nk'úmugabo ukanigwa.,L'orgueil excessif et la cupidité insatiable conduisent souvent à une grave chute.,Excessive pride and insatiable greed often lead to a grave downfall.,proverbs,,,,,,,25.0
,Urímye ikibára hakamera inzúzi ntízibá arí izâwé.,"Si la récolte te surprend, ce n'est pas ta culture..","If the harvest surprises you, it's not your crop.",proverbs,,,,,,,49.0
,Urāmba cāne ukarīnda uruvyíno rw'îmbwá.,"Avec l'âge, certaines peurs perdent leur pouvoir.","With age, certain fears no longer hold power.",proverbs,,,,,,,39.0
,Usaba Imâna y'úwŭndi ikaguha amahere.,Ne demandez pas à Dieu ce qui dépasse votre destin.,Do not ask God for what is beyond your destiny.,proverbs,,,,,,,37.0
,Usaba inēra ukaba inēra.,Celui qui cherche de l'aide auprès d'une mauvaise personne hérite de ses manières.,He who seeks help from a bad person inherits their ways.,proverbs,,,,,,,24.0
,Usaba umwîzá mugasa.,Celui qui s'associe aux bons devient lui-même bon.,He who associates with the good becomes good himself.,proverbs,,,,,,,20.0
,Useka umubânyi ukavyūka músa.,Ce que tu moques aujourd'hui pourrait être ton propre reflet demain.,What you mock today may be your own reflection tomorrow.,proverbs,,,,,,,29.0
,"Ushâka kumenya urugero rwāwe rwó kwìíhāngāna, uratwāra Umwâna wāwe w'îmyâka itatu mu bugeni.","Si tu veux évaluer ton niveau de gentillesse, amène ton enfant de 3 ans à un mariage. ","If you want to gauge your kindness, bring your 3-year-old to a wedding. ",jokes,,,,,,,92.0
,"Ushīma kó ibīntu vyàázīmvye,..Kèéra twâgīye kuramutsa bā mâmá bàácu, bàárakubwîra nk'încúro icúmi ngo ""Ingo ufūngúre "" ukaguma wîyankīsha ugatīnda ukêmera,...","Pour comprendre à quel point les prix ont grimpé, imaginez ceci : Autrefois, quand nous rendions visite à nos tantes, elles nous répétaient mille fois de venir manger.","To grasp the extent of how prices have soared, consider this: Back in the day, when we visited our aunties, they'd insist a thousand times for us to come and eat. ",jokes,,,,,,,158.0
,Uta agatōngo ataco kakugíze kagatuma ku kăndi ngo urāmpōra.,Un traitement injuste peut pousser quelqu'un à chercher des alliés pour se venger.,Unjust treatment can lead someone to seek allies for vengeance.,proverbs,,,,,,,59.0
,Uta akarānga ukaba utâye ibānga.,"Perdre sa culture, c'est perdre son identité.",Losing culture means losing identity.,proverbs,,,,,,,32.0
,"Utazi Ikirundi, burya uba waratakaje imizi.","Si vous ne connaissez pas le Kirundi, vous avez perdu vos racines.","If you don't know Kirundi, you have lost your roots.",general,,,,,,,43.0
,Uturorero:   Ivy'aha vyama mu nzira,Exemples : Ici Il ya toujours le désordre,Examples: Here there is always disorder,general,,,,,,,35.0
,Uturuka buká ugatāha bunyama.,Un mauvais début mène à une mauvaise fin.,A bad beginning leads to a bad ending.,proverbs,,,,,,,29.0
,Utw'ûmwôro twōmwēgēra.,"Ce qui vous appartient, gardez-le près de vous.","What belongs to you, keep it close to you.",proverbs,,,,,,,22.0
,Utwâwé ní utwó urāyé urîye.,Vos vrais biens sont ceux que vous pouvez saisir.,Your true belongings are those within your grasp.,proverbs,,,,,,,27.0
,Utāmbira umwămi atagushăka akakwīta umusazi.,Danser pour une pierre ne fera que vous rendre ridicule.,Dancing for a stone will only make you look foolish.,proverbs,,,,,,,44.0
,Utēka ubúsa ukamira ubŭndi.,"Si vous ne semez pas, vous ne récolterez pas.","If you don't sow, you won't reap.",proverbs,,,,,,,27.0
,Uvyiyumvirako iki?,Qu'est-ce que tu en penses?,What do you think?,general,,,,,,,18.0
,Uwabâye mwīzá aba muzima.,Un vrai homme est mesuré par la bonté dans son cœur.,A true man is measured by the goodness in his heart.,proverbs,,,,,,,25.0
,Uwabírimye sí we yabírīye.,"Il a attrapé le poisson, mais d'autres ont profité du repas.","He caught the fish, but others enjoyed the meal.",proverbs,,,,,,,26.0
,Uwagôwe aherekeza uwagôtse.,Ceux qui sont dans la misère sont ceux qui soutiendraient un traître.,Those in misery are the ones who would stand by a traitor's side.,proverbs,,,,,,,27.0
,Uwapfûye yarîhūse.,"Partis trop tôt, ils ont raté les marées changeantes.","Gone too soon, they missed the changing tides.",proverbs,,,,,,,18.0
,Uwatînye gupfá ntíyavûtse.,Celui qui a peur de tomber n'apprendra jamais à voler.,He who is afraid to fall will never learn to fly.,proverbs,,,,,,,26.0
,Uwu munsi ni mwiza.,Cette journée est belle.,This day is beautiful.,general,,,,,,,19.0
,Uwubwîra uwŭmva ntávuníka.,"À une oreille attentive, peu de mots suffisent.","To a willing ear, few words are needed.",proverbs,,,,,,,26.0
,Uwubândwa ní we abāndá urūgi.,Seuls les intrépides relèvent les défis difficiles.,Only the fearless take on difficult tasks.,proverbs,,,,,,,29.0
,Uwubûndabūnda abonwa n'úwuhágaze.,Celui qui agit en secret peut être vu par des yeux invisibles.,The one who acts in secret may be witnessed by unseen eyes.,proverbs,,,,,,,33.0
,Uwubûranye ikinyóma aragítsīndanwa.,Le défenseur des mensonges tombe dans son propre piège.,The defender of lies falls into his own trap.,proverbs,,,,,,,35.0
,Uwudásavyé ntákirá.,"Si vous ne demandez pas, vous n'obtenez pas.","If you don't ask, you don't get.",proverbs,,,,,,,19.0
,Uwudáshōnjé ntáshērá.,Seul un estomac vide connaît la douleur de la mendicité.,Only an empty stomach knows the pain of begging.,proverbs,,,,,,,21.0
,Uwudásizé umwâna asiga umugáni.,"Même sans laisser de descendance, une personne devrait s'efforcer de créer un héritage durable par des actions significatives.","Even without leaving behind any offspring, a person should strive to create a lasting legacy through meaningful actions, .",proverbs,,,,,,,31.0
,Uwudátēyé ntásorόma.,"Si vous n'avez pas semé, vous ne pouvez pas vous attendre à récolter.","If you haven't sown, you can't expect to harvest.",proverbs,,,,,,,20.0
,Uwufíse amâso ahēndwa biké.,Celui qui a des yeux ne sera pas facilement trompé.,He who has eyes will not be easily fooled.,proverbs,,,,,,,27.0
,Uwufíse ikimuri ntáhakúrira hāsí.,"Dans le noir, la lumière empêche votre assiette de tomber.","In the dark, light keeps your plate from falling.",proverbs,,,,,,,33.0
,Uwufíse imbwá ntâtá igúfa.,Avoir un chien signifie ne pas gaspiller les os à la poubelle.,Having a dog means not wasting bones in the garbage.,proverbs,,,,,,,26.0
,Uwugômba isīmbo asīmba urugó.,"Quand tu désires vraiment quelque chose, tu dois t'efforcer sans relâche.","When you truly desire something, you must exert yourself relentlessly.",proverbs,,,,,,,29.0
,Uwugômba kugabana arazīnduka.,Celui qui souhaite être accordé par le roi doit venir tôt.,He who wishes to be granted by the king must come early.,proverbs,,,,,,,29.0
,Uwugôwe agōra Imâna.,L'âme misérable se tourne vers les cieux pour obtenir du soulagement.,The wretched soul turns to the heavens for relief.,proverbs,,,,,,,20.0
,Uwugôwe aragōka.,"Au milieu des troubles, les vulnérables peuvent abandonner leurs principes pour un gain personnel.","Amidst troubles, the vulnerable may forsake principles for personal gain.",proverbs,,,,,,,16.0
,Uwugôwe umuryāngo uramwākīra.,"Quand on est dans le besoin, les mains de la famille se tendent pour aider.","When one is in need, the family's hands extend to help.",proverbs,,,,,,,29.0
,Uwugúhanūra kurēndegera aba agúteze umushíbuká.,"Méfiez-vous de ceux qui prêchent l'insouciance, car ils peuvent chercher votre chute.","Be wary of the ones who preach carelessness, as they may be seeking your downfall.",proverbs,,,,,,,47.0
,Uwugúsavye umwūhīro aba agútaze umusêsekará.,Demander plus de vous est un souhait subtil pour votre abondance.,"Requesting more from you, is a subtle wish for your abundance.",proverbs,,,,,,,44.0
,Uwugútānze gukáraba agutānga kubega.,L'oiseau matinal attrape le ver.,The early bird catches the worm.,proverbs,,,,,,,36.0
,Uwuhána inzara arayirimira.,"Pour lutter contre la faim, il faut travailler plus dur.","To fight against hunger, you need to work harder.",proverbs,,,,,,,27.0
,Uwuhána umurozi amubītsa umwâna.,"Si vous voulez tester la vraie nature d'une personne, confiez-lui quelque chose de précieux.","If you want to test a person's true nature, entrust them with something valuable.",proverbs,,,,,,,32.0
,Uwuhânzwe n'îsînzí ntásīnzîra.,"Quand on est entouré d'ennemis, on dort d'un œil ouvert.","When surrounded by enemies, sleep with one eye open.",proverbs,,,,,,,30.0
,Uwuhâwe n'Îmâna ntíyāmbúrwa n'úmuyaga.,La serrure de ta fortune ne s'ouvre qu'avec ta propre clé.,The lock to your fortune only opens to your key.,proverbs,,,,,,,38.0
,Uwuhâwe n'úmwămi acānira Uburŭndi búbona.,"Celui qui est accordé par le roi prend son repas en paix, sans interférence.","He who is granted by the king enjoys his meal in peace, without interference.",proverbs,,,,,,,41.0
,Uwuhâwe n'úmwămi atēkera Uburŭndi búbona.,"Celui qui est accordé par le roi prend son repas en paix, sans interférence.","He who is granted by the king enjoys his meal in peace, without interference.",proverbs,,,,,,,41.0
,Uwuhênzwe n'ágahêngwé acāna inkīnzo.,Celui qui est bercé par la paix peut oublier le besoin d'une épée.,He who is lulled by peace may forget the need for a sword.,proverbs,,,,,,,36.0
,Uwuhôngera umwânsi amara inká.,"Quand vous cherchez le pardon d'un ennemi avec des cadeaux, cela devient un schéma récurrent.","When you seek forgiveness from an enemy with gifts, it becomes a recurring pattern.",proverbs,,,,,,,30.0
,Uwujá gukíra indwâra arayirāta.,"Quand vous partagez votre maladie, vous invitez la guérison.","When you share your sickness, you invite healing.",proverbs,,,,,,,31.0
,Uwujá gukíra urwîmo arwīma ururími.,"En temps de trouble, le silence offre une protection.","In times of trouble, silence offers protection.",proverbs,,,,,,,35.0
,Uwujá gusíga imvúra arayirorēra.,"Dans la course contre la pluie, attendre assure une fin sèche.","In the race against the rain, waiting ensures a dry finish.",proverbs,,,,,,,32.0
,Uwujá gutûnga arima abagēnzi.,"Méfiez-vous de disperser votre richesse à tous, car vous pourriez finir sans rien.","Beware of scattering your wealth to all, for you may end up with none.",proverbs,,,,,,,29.0
,Uwujá kubá mu Burŭndi agira amâso ntágirá amatwí.,"Pour se marier, il faut avoir des yeux et non des oreilles.","To get married, one must have eyes and not ears.",proverbs,,,,,,,49.0
,Uwujá kugaya ijāmbo arāba umunwa urivúze.,Celui qui ignore la parole c'est à cause de l'orateur.,He who ignores the word is because of the speaker.,proverbs,,,,,,,41.0
,Uwujá mu rugό rw'úwŭndi asiga ingeso kw'īrêmbo.,"En entrant dans la maison de quelqu'un d'autre, laissez vos manières à la porte.","When entering someone else's house, leave your manners at the door.",proverbs,,,,,,,47.0
,Uwukora Imikate n'Umubanyi.,Le boulanger est mon voisin.,The baker is my neighbor.,general,,,,,,,27.0
,Uwukêngurutse aba yôngeje.,Un cœur reconnaissant cherche davantage de bénédictions.,A grateful heart seeks more blessings.,proverbs,,,,,,,26.0
,Uwukíze inkúba arayígānīra.,Ceux qui échappent de justesse au danger racontent l'histoire à quiconque veut l'écouter.,Those who narrowly escape danger tell the story to anyone who will listen.,proverbs,,,,,,,27.0
,Uwukíze isěmu yībagira icămwīrukana.,"Dans les bons moments, les cicatrices des épreuves sont facilement négligées.","In good times, the scars of hardship are easily overlooked.",proverbs,,,,,,,36.0
,Uwukíze ubusóre arabuganira.,"Quand un homme quitte le chemin solitaire, que les cloches joyeuses sonnent et que le cœur des amis brille.","When a man leaves the single road, let joyous bells ring and friends' hearts be glowed.",proverbs,,,,,,,28.0
,Uwukóma amashí ntákubítwa kū ntoke.,"Ne détournez pas la main tendue, car elle porte un appel à l'aide.","Do not turn away from the outstretched hand, for it carries a plea for help.",proverbs,,,,,,,35.0
,Uwukúbita igishěgu arakijāniranya (arakirīndira).,"Si tu commences une guerre, prépare-toi à te battre jusqu'à la fin.","If you start a war, prepare to fight until the end.",proverbs,,,,,,,49.0
,Uwukúbita inkēnde ntárābíra iyiháka.,"Un cœur malveillant ne fait pas de distinction, nuisant à tous sur son passage.","A heart of malice knows no distinction, harming all in its path.",proverbs,,,,,,,36.0
,Uwukúrusha umugóre akurusha urugó.,"Une maison avec une bonne femme est comme un jardin fleuri de roses, tandis qu'une maison sans elle est comme un désert stérile.","A home with a good woman is like a garden flourishing with roses, while a home without one is like a barren desert.",proverbs,,,,,,,34.0
,Uwukúrāvye cāne agutēra kwāmbara.,"Lorsque les gens vous corrigent constamment, c'est un signal pour vous réévaluer.","When people are constantly fixing you, it's a signal to reevaluate yourself.",proverbs,,,,,,,33.0
,Uwumáze umwâka aba arâmvye.,Passer une année est un pas vers la longévité.,Spending a year is a step towards longevity.,proverbs,,,,,,,27.0
,Uwupfûye aba arúhūtse.,La mort apporte à l'âme fatiguée un repos éternel.,Death brings the weary soul to eternal repose.,proverbs,,,,,,,22.0
,Uwurâmvye arabόna.,"Plus vous vivez longtemps, plus vous êtes témoin et comprenez.","The longer you live, the more you witness and understand.",proverbs,,,,,,,18.0
,Uwurérewe n'Îmâna agira ngo arusha abăndi guhana.,Les gens sont simplement bénis par Dieu et pensent qu'ils sont spéciaux.,People are just blessed by God and think they are special.,proverbs,,,,,,,49.0
,Uwurí mū ntăhe arêzwa ntíyīyéza.,"Un homme juste est justifié par les faits, non par sa propre défense.","A just man is vindicated by the facts, not his own defense.",proverbs,,,,,,,32.0
,Uwurívuze mu gushēngera ntâbá agîye.,Celui qui exprime son dernier souhait avant de partir reste gravé dans le cœur de ceux qu'il laisse derrière lui.,One who expresses their last wish before passing away remains etched in the hearts of those they leave behind.,proverbs,,,,,,,36.0
,Uwurûmbije umugόre ntásārûra umwâna.,"Pour planter la graine de la vie, il faut nourrir la flamme du désir.","To plant the seed of life, one must nurture the flame of desire.",proverbs,,,,,,,36.0
,Uwushâka akêzá aragáhebera.,Les meilleures choses dans la vie valent la peine de se battre.,The best things in life are worth fighting for.,proverbs,,,,,,,27.0
,Uwushâka inká aryāma nka zό.,"Agissez comme un local, soyez traité comme un local.","Act like a local, be treated like a loca.",proverbs,,,,,,,28.0
,Uwushâka kukúrya ntáburá imbóga agukóza.,Un esprit malveillant n'a pas besoin de raison pour frapper.,A malicious mind needs no reason to strike.,proverbs,,,,,,,40.0
,Uwushâka umubíra abira akŭya.,"Si vous voulez vraiment quelque chose, soyez prêt à transpirer pour l'obtenir.","If you want something badly enough, be prepared to sweat for it.",proverbs,,,,,,,29.0
,Uwushâka umucé acīka ijoro.,La route du succès est pavée de nuits blanches.,The road to success is paved with sleepless nights.,proverbs,,,,,,,27.0
,Uwushâka urwâmo yēnga urwârwá.,"Pour créer une atmosphère animée, organisez une soirée arrosée.","To create a lively atmosphere, host a drinking gathering.",proverbs,,,,,,,30.0
,Uwusába Imâna ntásarágara.,Celui qui cherche auprès de Dieu ne se lasse jamais.,The one who seeks from God never grows weary.,proverbs,,,,,,,26.0
,Uwusába agasákanyíka aranūkirwa akîhorera.,Celui qui cherche des faveurs auprès de quelqu'un qu'il n'aime pas persévère jusqu'à obtenir ce qu'il veut.,"He who seeks favors from someone he dislikes, perseveres until he gets what he wants.",proverbs,,,,,,,42.0
,Uwutsînzwe ntíbatsīndáho.,Ceux qui ont perdu méritent un cœur tendre et une main aidante.,Those who have lost deserve a tender heart and a helping hand.,proverbs,,,,,,,25.0
,Uwutábusyá abwīta ubumera.,Les personnes qui ne sont pas activement engagées ont tendance à considérer que c'est simple.,People who aren't actively engaged tend to consider it simple.,proverbs,,,,,,,26.0
,Uwutábōnyé agasóhoka ntáboná akĭnjira.,"Plus vous donnez, plus vous recevez.","The more you give, the more you receive.",proverbs,,,,,,,38.0
,Uwutáco agirá ntáco agayá.,"Quand tu ne possèdes rien, même le geste le plus simple est chéri.","When you possess nothing, even the simplest gesture is cherished.",proverbs,,,,,,,26.0
,Uwutágirá ubwôba aba atágirá ubwênge.,Un cœur sans peur peut conduire à des actions insensées.,A fearless heart can lead to foolish actions.,proverbs,,,,,,,37.0
,Uwutágiríwe n'Îmâna ntíyīgírira.,Ce qui n'est pas donné par Dieu ne peut être acquis par l'homme.,What is not given by God cannot be gained by man.,proverbs,,,,,,,32.0
,Uwutáharí asa n'úwapfûye.,Une âme absente semble être un souvenir lointain.,An absent soul feels like a distant memory.,proverbs,,,,,,,25.0
,Uwutárahéra aba arahékenya.,Être en vie est une raison de savourer la vie.,Being alive is a reason to savor life.,proverbs,,,,,,,27.0
,Uwutári bukuvúne yōkuva inyuma.,Celui qui retient l'aide ne peut être compté comme un ami fidèle.,He who withholds help cannot be counted as a faithful friend.,proverbs,,,,,,,31.0
,Uwutárihό azigamirwa n'úmuryāngo.,Ce n'est qu'à l'ombre de l'absence que les piliers de la loyauté se dressent haut.,Only in the shadow of absence do the pillars of loyalty stand tall.,proverbs,,,,,,,33.0
,Uwutárābóna ntávugá.,"Si vous ne l'avez pas vu, n'en parlez pas.","If you haven't witnessed it, don't speak of it.",proverbs,,,,,,,20.0
,Uwutárāgēnda yīta umwâna Nzirakugēnda.,Les inexpérimentés sous-estiment souvent les capacités des autres.,The inexperienced often underestimate the abilities of others.,proverbs,,,,,,,38.0
,Uwutárāpfá aba akírihό.,"Celui qui est vivant, a de l'espoir.","He who is alive, has hope.",proverbs,,,,,,,23.0
,Uwutárĭbwa ntárīndá.,L'adversité est la forge de la force.,Adversity is the forge of strength.,proverbs,,,,,,,20.0
,Uwutânga nêzá atānga kabiri.,"Quand tu donnes avec gentillesse, tu donnes deux fois.","When you give with kindness, you give twice.",proverbs,,,,,,,28.0
,Uwutâzí Uburŭndi aburūndwámwo.,"Sans connaissance du Burundi, on s'aventurerait à l'aveuglette.","Without knowledge of Burundi, one would venture blindly.",proverbs,,,,,,,30.0
,Uwutâzí inzira yazanánye ahanwa n'ámayirábiri.,Le voyageur perdu paie le prix au carrefour.,The lost traveler pays the price at the crossroads.,proverbs,,,,,,,46.0
,Uwutâzí ubwênge ashīma ubwîwé.,Un sot se croit sage.,A fool thinks himself to be wise.,proverbs,,,,,,,30.0
,Uwutâzí umwânsi ashīma inda.,Ne pas connaître son ennemi conduit à se vanter de son propre bien-être.,Ignorance of your enemy leads to boasting about your own welfare.,proverbs,,,,,,,28.0
,Uwutéma urwîwé umutīza umuhoro.,"Si quelqu'un est déterminé à détruire sa maison, donnez-lui les outils pour accélérer le processus..","If someone is bent on destroying their home, hand them the tools to expedite the process.",proverbs,,,,,,,31.0
,Uwutîcâniye ntárahúrira uwŭndi.,La charité commence par chez soi.,Charity begins at home.,proverbs,,,,,,,31.0
,Uwutônganye n'úmuriro arya bibísi.,Celui qui dépend des autres doit être prudent dans ses querelles.,One who depends on others must be cautious in their quarrels.,proverbs,,,,,,,34.0
,Uwutôsōra ifúku yāmiza agáti (akătsi) mu jîsho.,Un conseil souvent répété est un conseil pris en compte.,A counsel often repeated is a counsel heeded.,proverbs,,,,,,,47.0
,Uwuvuze neza agakomerwa amashi.,Celui qui parle bien sera acclamé.,He who speaks well will be acclaimed.,general,,,,,,,31.0
,Uwuvôma yânka avōma ibiróhe.,Faire une tâche à contrecoeur conduit à la faire mal.,Doing a task unwillingly leads to doing it poorly.,proverbs,,,,,,,28.0
,"Uwânje afyītuye ishûrwe umugeni nōné arikó ararisāmbūra, atá kamwê kamwé.",Le mien vient de voler la fleur de la mariée et la déchire maintenant en morceaux,Mine just swiped the bride's flower and is now tearing it to shreds.,jokes,,,,,,,73.0
,Uwó bukubíye akubira umukúbi.,"Quand le chemin devient difficile, un voyageur mangera ce qui est à portée de main.","When the road gets tough, a traveler will eat what's at hand.",proverbs,,,,,,,29.0
,Uwó ivyâgo vyāgíye n'ívyătsi ntíbimubísa inzira.,"En période de grande difficulté, les obstacles semblent surgir de toutes parts.","In times of great difficulty, obstacles seem to appear from every direction.",proverbs,,,,,,,48.0
,Uwó izá guhá ntímugeréraniriza.,"À celui à qui Dieu veut donner, Il ouvre les mains.","To the one whom God wants to give, He opens the hands.",proverbs,,,,,,,31.0
,Uwó utabōnyé ku rupfú rwā só ntúmubóna ibigôri vyêze.,Ceux qui sont absents pendant vos luttes ne méritent pas d'être présents lors de vos triomphes.,The ones absent during your struggles don't deserve to be present during your triumphs.,proverbs,,,,,,,53.0
,Uwó wakíjije ní we akwĭca.,La main que vous sauvez peut se retourner contre vous.,The hand you rescue may turn against you.,proverbs,,,,,,,26.0
,Uwúca umugáni ntátarámura umwâna.,Les paroles de sagesse devraient aussi parvenir aux oreilles des jeunes.,Words of wisdom should reach the ears of the young as well.,proverbs,,,,,,,33.0
,Uwúca urubănza rw'ábavândímwe ararárama.,Le médiateur ne doit pas prendre parti entre les frères et sœurs.,The mediator should not take sides between siblings.,proverbs,,,,,,,40.0
,Uwămbuwe n'ûwâzí ntâtá ingáta.,"Lorsqu'un vol vient de quelqu'un que vous connaissez, restez résilient.","When theft comes from someone you know, remain resilient.",proverbs,,,,,,,30.0
,Uwămye akúruta akurusha n'îmvá.,Un grand arbre tombe avec un grand fracas.,A great tree falls with a mighty crash.,proverbs,,,,,,,31.0
,Uwănka (Uwutâzí) agakúra abāga (aniga) umutavu.,Celui qui a un cœur mauvais écrase le jeune arbre avant qu'il ne grandisse.,The one with an evil heart crushes the sapling before it grows tall.,proverbs,,,,,,,47.0
,Uwănka abagabo asiga bágabura.,La tâche du médiateur n'est pas terminée tant que la paix ne prévaut pas.,The mediator's task isn't done until peace prevails.,proverbs,,,,,,,30.0
,Uwănka amazímwe abāndwa hábona.,"En quête de tranquillité, on accomplit des actions suspectes ouvertement.","Seeking tranquility, one performs suspicious actions openly.",proverbs,,,,,,,31.0
,Uwănka isāzi ata akanûka.,"Chasse ce qui est gâté, et les nuisibles suivront.","Shoo away what's spoiled, and the pests will follow.",proverbs,,,,,,,25.0
,Uwănse kwŭmva ntíyănse kubóna.,On ne peut pas discuter avec les preuves.,You can't argue with the evidence.,proverbs,,,,,,,30.0
,Uwěnyegeza ntávuná zöse.,La main du commerçant est prudente dans ses dépenses.,The storekeeper's hand is careful with spending.,proverbs,,,,,,,24.0
,Uwěrekeye iryá aba ahénye.,Faire face à une direction différente révèle votre dos.,Facing a different direction reveals your back.,proverbs,,,,,,,26.0
,Uwĭcaye nêzá yōta nêzá.,La fortune favorise ceux qui sont bien placés.,Fortune favors those in a good position.,proverbs,,,,,,,23.0
,Uwĭgize igikútso bamuyōza amasé.,Tolérer le manque de respect invite à plus d'abus.,Tolerating disrespect invites more abuse.,proverbs,,,,,,,32.0
,Uwĭhoreye ahōnga biké.,"Celui qui parle moins, fait face à moins de problèmes.","The one who speaks less, faces fewer troubles.",proverbs,,,,,,,22.0
,Uwĭshwe n'ûwîwé ntárirírwa.,L'épée d'une famille ne laisse pas de larmes.,A family's sword leaves no tears.,proverbs,,,,,,,27.0
,Uwĭtara kubá igihuna ahunikira búkēye.,"Pour être semblable, agis de la même manière.","To be alike, act alike.",proverbs,,,,,,,38.0
,Uwĭtumiye yītwāza intébe.,"Si vous n'êtes pas invité au festin, apportez votre propre chaise.","If you're not invited to the feast, bring your own chair.",proverbs,,,,,,,25.0
,Uwĭtēra umwôro amwēreka mu kigega.,"Montrez à un homme misérable ce que vous avez, et il ne vous quittera jamais.","Show a miserable man what you have, and he will never leave your side.",proverbs,,,,,,,34.0
,Uwĭtōnze akama ishâshi.,Celui qui a de la patience obtient ce qu'il veut.,"He who has patience, gets what he wants.",proverbs,,,,,,,23.0
,Uwĭtōnze amira ibinóze.,Les meilleures choses dans la vie valent la peine d'attendre.,The best things in life are worth waiting for.,proverbs,,,,,,,23.0
,Uwĭyimye asa n'úwĭyahuye.,Celui qui se prive pour la richesse meurt deux fois.,He who starves himself for wealth dies twice.,proverbs,,,,,,,25.0
,Uwŏhōra imbwá gusútama yōzimara zöse.,Essayer de punir les gens pour leurs traits ou leur nature est futile.,Trying to punish people for their inherent traits or nature is futile.,proverbs,,,,,,,37.0
,Uwŏsha umukéne aramusaba.,"Quand on désire quelque chose des moins fortunés, on utilise des tactiques subtiles.","When desiring something from the less fortunate, subtle tactics are used.",proverbs,,,,,,,25.0
,Uyo mukobwa ni mwiza,Cette fille est belle,This girl is beautiful,general,,,,,,,20.0
,Uyu musi ni mwiza.,Cette journée est belle.,This day is beautiful.,general,,,,,,,18.0
,Uyu mwaka ni mwiza.,Cette année est belle.,This year is beautiful.,general,,,,,,,19.0
,Uyu mwanditsi akabona ko intambwe ikiri ndende.,Cet auteur estime qu’il reste encore un long chemin à parcourir.,This author believes that there is still a long way to go.,general,,,,,,,47.0
,Uyu ni umucungwe.,Ceci est un orange.,This is a orange.,vocabulary,,,,,,,17.0
,Uyu ni umugabo.,Ceci est un homme.,This is a man.,vocabulary,,,,,,,15.0
,Uyu ni umuhogo.,Ceci est un gorge.,This is a throat.,vocabulary,,,,,,,15.0
,Uyu ni umunara.,Ceci est un tour.,This is a tower.,vocabulary,,,,,,,15.0
,Uyu ni umusiba.,Ceci est un ver de terre.,This is a earthworm.,vocabulary,,,,,,,15.0
,Uyu ni umuswi.,Ceci est un poussin.,This is a chick.,vocabulary,,,,,,,14.0
,Uyu ni umutima.,Ceci est un coeur.,This is a heart.,vocabulary,,,,,,,15.0
,Uyāgira urupfú uwutărubōnye ukaba uménye ibānga.,"Révéler vos peurs les plus intimes à un étranger, c'est exposer un secret.",Revealing your innermost fears to a stranger is exposing a secret.,proverbs,,,,,,,48.0
,Uzonzanire akajumbu niwagaruka.,Amènes moi une patate douce à ton retour,Bring me a sweet potato when you get back,general,,,,,,,31.0
,Uzovuge ukuri igihe cose,Dis toujours la vérité.,Always tell the truth.,general,,,,,,,24.0
,Vuga buhoro,Parlez plus lentement.,Speak more slowly.,general,,,,,,,11.0
,Vuga buhoro buhoro,Parlez plus lentement.,Speak more slowly.,general,,,,,,,18.0
