File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Speaker_id,Age,Gender,Machine_Suggestion
,Uwutágiríwe n'Îmâna ntíyīgírira.,Ce qui n'est pas donné par Dieu ne peut être acquis par l'homme.,What is not given by God cannot be gained by man.,proverbs,,,,
,Uwutáharí asa n'úwapfûye.,Une âme absente semble être un souvenir lointain.,An absent soul feels like a distant memory.,proverbs,,,,
,Uwutárahéra aba arahékenya.,Être en vie est une raison de savourer la vie.,Being alive is a reason to savor life.,proverbs,,,,
,Uwutári bukuvúne yōkuva inyuma.,Celui qui retient l'aide ne peut être compté comme un ami fidèle.,He who withholds help cannot be counted as a faithful friend.,proverbs,,,,
,Uwutárihό azigamirwa n'úmuryāngo.,Ce n'est qu'à l'ombre de l'absence que les piliers de la loyauté se dressent haut.,Only in the shadow of absence do the pillars of loyalty stand tall.,proverbs,,,,
,Uwutárābóna ntávugá.,"Si vous ne l'avez pas vu, n'en parlez pas.","If you haven't witnessed it, don't speak of it.",proverbs,,,,
,Uwutárāgēnda yīta umwâna Nzirakugēnda.,Les inexpérimentés sous-estiment souvent les capacités des autres.,The inexperienced often underestimate the abilities of others.,proverbs,,,,
,Uwutárāpfá aba akírihό.,"Celui qui est vivant, a de l'espoir.","He who is alive, has hope.",proverbs,,,,
,Uwutárĭbwa ntárīndá.,L'adversité est la forge de la force.,Adversity is the forge of strength.,proverbs,,,,
,Uwutânga nêzá atānga kabiri.,"Quand tu donnes avec gentillesse, tu donnes deux fois.","When you give with kindness, you give twice.",proverbs,,,,
,Uwutâzí Uburŭndi aburūndwámwo.,"Sans connaissance du Burundi, on s'aventurerait à l'aveuglette.","Without knowledge of Burundi, one would venture blindly.",proverbs,,,,
,Uwutâzí inzira yazanánye ahanwa n'ámayirábiri.,Le voyageur perdu paie le prix au carrefour.,The lost traveler pays the price at the crossroads.,proverbs,,,,
,Uwutâzí ubwênge ashīma ubwîwé.,Un sot se croit sage.,A fool thinks himself to be wise.,proverbs,,,,
,Uwutâzí umwânsi ashīma inda.,Ne pas connaître son ennemi conduit à se vanter de son propre bien-être.,Ignorance of your enemy leads to boasting about your own welfare.,proverbs,,,,
,Uwutéma urwîwé umutīza umuhoro.,"Si quelqu'un est déterminé à détruire sa maison, donnez-lui les outils pour accélérer le processus..","If someone is bent on destroying their home, hand them the tools to expedite the process.",proverbs,,,,
,Uwutîcâniye ntárahúrira uwŭndi.,La charité commence par chez soi.,Charity begins at home.,proverbs,,,,
,Uwutônganye n'úmuriro arya bibísi.,Celui qui dépend des autres doit être prudent dans ses querelles.,One who depends on others must be cautious in their quarrels.,proverbs,,,,
,Uwutôsōra ifúku yāmiza agáti (akătsi) mu jîsho.,Un conseil souvent répété est un conseil pris en compte.,A counsel often repeated is a counsel heeded.,proverbs,,,,
,Uwuvuze neza agakomerwa amashi.,Celui qui parle bien sera acclamé.,He who speaks well will be acclaimed.,general,,,,
,Uwuvôma yânka avōma ibiróhe.,Faire une tâche à contrecoeur conduit à la faire mal.,Doing a task unwillingly leads to doing it poorly.,proverbs,,,,
,"Uwânje afyītuye ishûrwe umugeni nōné arikó ararisāmbūra, atá kamwê kamwé.",Le mien vient de voler la fleur de la mariée et la déchire maintenant en morceaux,Mine just swiped the bride's flower and is now tearing it to shreds.,jokes,,,,
,Uwó bukubíye akubira umukúbi.,"Quand le chemin devient difficile, un voyageur mangera ce qui est à portée de main.","When the road gets tough, a traveler will eat what's at hand.",proverbs,,,,
,Uwó ivyâgo vyāgíye n'ívyătsi ntíbimubísa inzira.,"En période de grande difficulté, les obstacles semblent surgir de toutes parts.","In times of great difficulty, obstacles seem to appear from every direction.",proverbs,,,,
,Uwó izá guhá ntímugeréraniriza.,"À celui à qui Dieu veut donner, Il ouvre les mains.","To the one whom God wants to give, He opens the hands.",proverbs,,,,
,Uwó utabōnyé ku rupfú rwā só ntúmubóna ibigôri vyêze.,Ceux qui sont absents pendant vos luttes ne méritent pas d'être présents lors de vos triomphes.,The ones absent during your struggles don't deserve to be present during your triumphs.,proverbs,,,,
,Uwó wakíjije ní we akwĭca.,La main que vous sauvez peut se retourner contre vous.,The hand you rescue may turn against you.,proverbs,,,,
,Uwúca umugáni ntátarámura umwâna.,Les paroles de sagesse devraient aussi parvenir aux oreilles des jeunes.,Words of wisdom should reach the ears of the young as well.,proverbs,,,,
,Uwúca urubănza rw'ábavândímwe ararárama.,Le médiateur ne doit pas prendre parti entre les frères et sœurs.,The mediator should not take sides between siblings.,proverbs,,,,
,Uwămbuwe n'ûwâzí ntâtá ingáta.,"Lorsqu'un vol vient de quelqu'un que vous connaissez, restez résilient.","When theft comes from someone you know, remain resilient.",proverbs,,,,
,Uwămye akúruta akurusha n'îmvá.,Un grand arbre tombe avec un grand fracas.,A great tree falls with a mighty crash.,proverbs,,,,
,Uwănka (Uwutâzí) agakúra abāga (aniga) umutavu.,Celui qui a un cœur mauvais écrase le jeune arbre avant qu'il ne grandisse.,The one with an evil heart crushes the sapling before it grows tall.,proverbs,,,,
,Uwănka abagabo asiga bágabura.,La tâche du médiateur n'est pas terminée tant que la paix ne prévaut pas.,The mediator's task isn't done until peace prevails.,proverbs,,,,
,Uwănka amazímwe abāndwa hábona.,"En quête de tranquillité, on accomplit des actions suspectes ouvertement.","Seeking tranquility, one performs suspicious actions openly.",proverbs,,,,
,Uwănka isāzi ata akanûka.,"Chasse ce qui est gâté, et les nuisibles suivront.","Shoo away what's spoiled, and the pests will follow.",proverbs,,,,
,Uwănse kwŭmva ntíyănse kubóna.,On ne peut pas discuter avec les preuves.,You can't argue with the evidence.,proverbs,,,,
,Uwěnyegeza ntávuná zöse.,La main du commerçant est prudente dans ses dépenses.,The storekeeper's hand is careful with spending.,proverbs,,,,
,Uwěrekeye iryá aba ahénye.,Faire face à une direction différente révèle votre dos.,Facing a different direction reveals your back.,proverbs,,,,
,Uwĭcaye nêzá yōta nêzá.,La fortune favorise ceux qui sont bien placés.,Fortune favors those in a good position.,proverbs,,,,
,Uwĭgize igikútso bamuyōza amasé.,Tolérer le manque de respect invite à plus d'abus.,Tolerating disrespect invites more abuse.,proverbs,,,,
,Uwĭhoreye ahōnga biké.,"Celui qui parle moins, fait face à moins de problèmes.","The one who speaks less, faces fewer troubles.",proverbs,,,,
,Uwĭshwe n'ûwîwé ntárirírwa.,L'épée d'une famille ne laisse pas de larmes.,A family's sword leaves no tears.,proverbs,,,,
,Uwĭtara kubá igihuna ahunikira búkēye.,"Pour être semblable, agis de la même manière.","To be alike, act alike.",proverbs,,,,
,Uwĭtumiye yītwāza intébe.,"Si vous n'êtes pas invité au festin, apportez votre propre chaise.","If you're not invited to the feast, bring your own chair.",proverbs,,,,
,Uwĭtēra umwôro amwēreka mu kigega.,"Montrez à un homme misérable ce que vous avez, et il ne vous quittera jamais.","Show a miserable man what you have, and he will never leave your side.",proverbs,,,,
,Uwĭtōnze akama ishâshi.,Celui qui a de la patience obtient ce qu'il veut.,"He who has patience, gets what he wants.",proverbs,,,,
,Uwĭtōnze amira ibinóze.,Les meilleures choses dans la vie valent la peine d'attendre.,The best things in life are worth waiting for.,proverbs,,,,
,Uwĭyimye asa n'úwĭyahuye.,Celui qui se prive pour la richesse meurt deux fois.,He who starves himself for wealth dies twice.,proverbs,,,,
,Uwŏhōra imbwá gusútama yōzimara zöse.,Essayer de punir les gens pour leurs traits ou leur nature est futile.,Trying to punish people for their inherent traits or nature is futile.,proverbs,,,,
,Uwŏsha umukéne aramusaba.,"Quand on désire quelque chose des moins fortunés, on utilise des tactiques subtiles.","When desiring something from the less fortunate, subtle tactics are used.",proverbs,,,,
,Uyo mukobwa ni mwiza,Cette fille est belle,This girl is beautiful,general,,,,
,Uyu mwaka ni mwiza.,Cette année est belle.,This year is beautiful.,general,,,,
,Uyu mwanditsi akabona ko intambwe ikiri ndende.,Cet auteur estime qu’il reste encore un long chemin à parcourir.,This author believes that there is still a long way to go.,general,,,,
,Uyu ni umucungwe.,Ceci est un orange.,This is a orange.,vocabulary,,,,
,Uyu ni umugabo.,Ceci est un homme.,This is a man.,vocabulary,,,,
,Uyu ni umuhogo.,Ceci est un gorge.,This is a throat.,vocabulary,,,,
,Uyu ni umunara.,Ceci est un tour.,This is a tower.,vocabulary,,,,
,Uyu ni umusiba.,Ceci est un ver de terre.,This is a earthworm.,vocabulary,,,,
,Uyu ni umuswi.,Ceci est un poussin.,This is a chick.,vocabulary,,,,
,Uyu ni umutima.,Ceci est un coeur.,This is a heart.,vocabulary,,,,
,Uyāgira urupfú uwutărubōnye ukaba uménye ibānga.,"Révéler vos peurs les plus intimes à un étranger, c'est exposer un secret.",Revealing your innermost fears to a stranger is exposing a secret.,proverbs,,,,
,Uzonzanire akajumbu niwagaruka.,Amènes moi une patate douce à ton retour,Bring me a sweet potato when you get back,general,,,,
,Uzovuge ukuri igihe cose,Dis toujours la vérité.,Always tell the truth.,general,,,,
,Vuga buhoro,Parlez plus lentement.,Speak more slowly.,general,,,,
,Vuga buhoro buhoro,Parlez plus lentement.,Speak more slowly.,general,,,,
,Vuga ukuri igihe cose.,Dis toujours la vérité.,Always tell the truth.,general,,,,
,Vyasabwa tugende kare.,Nous devons partir tôt.,We have to leave early.,general,,,,
,Vyihoze.,Laisse tomber.,Let go.,general,,,,
,Vyiza guhura namwe.,Enchanté de vous rencontrer.,Nice to meet you.,general,,,,
,Vyose bizogenda neza.,Tout ira bien.,Everything will be fine.,general,,,,
,Vyĭnshi bibí birutwa na bíke vyīzá.,Quelques belles choses surpassent beaucoup de médiocres.,A few beautiful things surpass many mediocre ones.,proverbs,,,,
,Vyōbîha ntívyōbura.,"Même amer, c'est toujours mieux que rien.","Even with a bitter taste, something is better than nothing.",proverbs,,,,
,"W'ámasafuriyá, amasáhàáni n'íbiráhurí."," J'ai des casseroles, des assiettes et des verres","I got pots, plates, and glasses",jokes,,,,
,Wame uvugisha ukuri.,Dis toujours la vérité.,Always tell the truth.,general,,,,
,Wari gukota iki mukibanza canje?,Que ferais-tu à ma place?,What would you do in my place?,general,,,,
,Wewe arateka neza cane,Elle cuisine très bien.,She cooks very well.,general,,,,
,Woshobora kusigurira mu buryo bwagutse,Pouvez-vous expliquer cela en détail?,Can you explain this in detail?,general,,,,
,Wānka bāngwé ntíwānká zana ndābé.,"Dans un combat, tu peux repousser les pacificateurs, mais en danger, tu accueilles leur aide.","In a fight, you may push away the peacemakers, but in danger, you welcome their aid.",proverbs,,,,
,Wānka kugaburira umushitsi ukaba ugôtse.,Recevoir un visiteur et ne pas offrir de repas est une honte.,To receive a visitor and not offer a meal is a disgrace.,proverbs,,,,
,Wānka kurimira kure ukahasumira.,"On peut refuser de voyager loin pour travailler, mais y aller quand même pour faire des achats.","One may refuse to travel far for work, but still go there to make purchases.",proverbs,,,,
,Wība uhêtse ukabwīriza uwúri mu mugôngo.,"En commettant des erreurs, on peut entraîner un innocent, et dans le danger, l'innocent peut être blâmé par peur.","In committing wrongs, one might drag along an innocent companion, when danger looms, the innocent may be blamed due to fear.",proverbs,,,,
,Wīrukana umugóre ngo aguguna igúfa ukāzana uwurímira miyônzwá.,Celui qui trouve des défauts chez une femme peut en trouver de plus grands chez une autre.,He who finds faults in one wife may find greater faults in another.,proverbs,,,,
,Wītaba kare ugatumwa kure.,Le premier intervenant est destiné à aller loin.,The early responder is destined to journey far.,proverbs,,,,
,Wōba ukórēsha Instagram ??,Tu utilises Instagram ?, Do you use Instagram?,jokes,,,,
,"Yakunda kutubaza ati:""Uva hehe?"".","Il nous demandait souvent : ""d'où viens-tu ?"".",He often asked us: where are you from?.,general,,,,
,Yama aryohewe.,Elle est toujours heureuse.,She is always happy.,general,,,,
,Yambaye amarori,Il porte de lunettes,He is wearing glasses,vocabulary,,,,
,Yambaye ikanzu itukura,Elle porte une robe rouge.,She is wearing a red dress.,general,,,,
,Yambu,Salut,Hi,general,,,,
,Yaratureze turakura tugera mu bigero.,Il nous a élevé jusqu'à la maturité.,He raised us to maturity.,general,,,,
,Yari imfungurwa iryoshe,C'était un repas délicieux.,It was a delicious meal.,general,,,,
,"Yarâmpévye, nôné ubu dukūndana na nyéne inzu abamwó.","Il m'a quitté, mais maintenant je suis en couple avec le propriétaire de son appartement. ","He dumped me, but now I'm in a relationship with the landlord of his apartment.",jokes,,,,
,Yiruka buri gitondo.,Il court tous les matins.,He runs every morning.,general,,,,
,Yìíze hé ?,Où a-t-il étudié ?,Where did he get educated? ,jokes,,,,
,Zikamwa ayό zitāhánye.,Les vaches produisent du lait en fonction de ce qu'elles ont mangé pendant le pâturage.,Cows produce milk based on what they have eaten during grazing.,proverbs,,,,
,abana barakina hanze.,Les enfants jouent dehors.,The children are playing outside.,general,,,,
,aka ni agahungarema.,Ceci est un chauve-souris.,This is a bat.,vocabulary,,,,
,amazi akanye,L'eau froide.,Cold water.,general,,,,
,araririmba indirimbo.,Elle chante une chanson.,She sings a song.,general,,,,
,aritonda cane,Il est très sympathique.,He is very friendly.,general,,,,
,"aríko Ubu bakubwīra rimwé, agíze Imâna ntùúvyūmve aba ahîriwe","elles ne vous le disent qu'une fois, et si elles ont de la chance, vous ne les entendez même pas","Today's aunties, however, only tell you once, and if they're lucky, you might not even hear them.",jokes,,,,
,bakwita gute?,Quel est votre nom?,What is your name?,general,,,,
,bazokora ubugeni mu mwaka uza.,Ils vont se marier l'année prochaine.,They are going to get married next year.,general,,,,
,birashushe.,C'est chaud.,It's hot.,general,,,,
,birihuta,C'est une urgence.,It's an emergency.,general,,,,
,bose bafise umutekano.,Tout le monde est en sécurité.,Everyone is safe.,general,,,,
,dukeneye umwanya ukwiye.,Nous avons besoin de plus de temps.,We need more time.,general,,,,
,dutegerezwa gufata ingingo,Nous devons prendre une décision.,We have to make a decision.,general,,,,
,fata akanya.,Prends ton temps.,Take your time.,general,,,,
,hamagara igipolisi,Appelez la police!,Call the police!,general,,,,
,hano hari Inkwavu nyinshi.,Il y a beaucoup de lapin ici.,There are many rabbit here.,vocabulary,,,,
,hano hari Intoke nyinshi.,Il y a beaucoup de doigt ici.,There are many finger here.,vocabulary,,,,
,hano hari amabungo menshi.,Il y a beaucoup de passion fruit ici.,There are many fruit de la passion here.,vocabulary,,,,
,hano hari amaguru menshi.,Il y a beaucoup de jambe ici.,There are many leg here.,vocabulary,,,,
,hano hari amavi menshi.,Il y a beaucoup de genou ici.,There are many knee here.,vocabulary,,,,
,hano hari ca Mama benshi.,Il y a beaucoup de maman ici.,There are many mum here.,vocabulary,,,,
,hano hari ibido nyinshi.,Il y a beaucoup de jerrican ici.,There are many jerrican here.,vocabulary,,,,
,hano hari ibigori vyinshi.,Il y a beaucoup de maÏs ici.,There are many corn here.,vocabulary,,,,
,hano hari ibinyugungyugu vyinshi.,Il y a beaucoup de papillon ici.,There are many butterfly here.,vocabulary,,,,
,hano hari ibitoke vyinshi.,Il y a beaucoup de banane verte ici.,There are many green banana here.,vocabulary,,,,
,hano hari imifuko myinshi.,Il y a beaucoup de sac ici.,There are many sack here.,vocabulary,,,,
,hano hari imiserebanyi myinshi.,Il y a beaucoup de lézard ici.,There are many lizard here.,vocabulary,,,,
,hano hari imyungu myinshi.,Il y a beaucoup de courge ici.,There are many pumpkin here.,vocabulary,,,,
,hano hari inkoko nyinshi.,Il y a beaucoup de poule ici.,There are many chicken here.,vocabulary,,,,
,hano hari ipapayi nyinshi.,Il y a beaucoup de papaye ici.,There are many papaya here.,vocabulary,,,,
,hano hari isoya nyinshi.,Il y a beaucoup de soja ici.,There are many soy here.,vocabulary,,,,
,hano hari utuyabu twinshi.,Il y a beaucoup de chats ici.,There are many cats here.,vocabulary,,,,
,hanohari imeza nyinshi.,Il y a beaucoup de table ici.,There are many table here.,vocabulary,,,,
,ibarabara ni rirerire cane,la route est tres longue,the road is so long,vocabulary,,,,
,ibisi yasinze,J'ai raté le bus.,I missed the bus.,general,,,,
,icirwa kirasanzwe,La réponse est simple.,The answer is simple.,general,,,,
,igihe c'imbeho ni kirekire,L'hiver est long et froid.,Winter is long and cold.,general,,,,
,igikorwa carakemuste.,Le projet est un succès.,The project is a success.,general,,,,
,ijoro ritanga icigwa,La nuit porte conseil.,The night brings advice.,general,,,,
,ijwi ry'imikuba ziraruhura,Le son des vagues est apaisant.,The sound of the waves is calming.,general,,,,
,imangazini irugaye k'umunsi w'imana.,Le magasin est fermé le dimanche.,The store is closed on Sundays.,general,,,,
,imfungurwa yari iryoshe,La nourriture était incroyable.,The food was amazing.,general,,,,
,imodoka isa nubururu,La voiture est bleue.,The car is blue.,general,,,,
,ingo ufungure,Viens manger.,Come eat.,general,,,,
,insiguro iratahuritse.,L'explication était très claire.,The explanation was very clear.,general,,,,
,inyabwonko yanje irikwega,Mon ordinateur est très lent.,My computer is very slow.,general,,,,
,ivyakogwa biraheze,Le projet est terminé.,The project is finished.,general,,,,
,iyi ndirimbo ni iyihe ?,Quelle est cette chanson?,What is this song?,general,,,,
,izuba riraka uyumusi.,Le soleil brille aujourd'hui.,The sun is shining today.,general,,,,
,"mbega,turyama hehe??","Alors, où dormons-nous ?",So where do we sleep?,general,,,,
,mpitamwo imiti yaha iwacu.,Je préfère les produits locaux.,I prefer local products.,general,,,,
,mu mwanya.,À plus tard.,See you later.,general,,,,
,"mugabo ,nyumviriza .","Mec, écoute-moi.","Dude, listen to me.",general,,,,
,murantunga kuri uku gucerwa.,Veuillez m'excuser pour le retard.,Please forgive me for the delay.,general,,,,
,muri abagwaneza.,Vous êtes très gentil.,You are very kind.,general,,,,
,muri iki gitondo harakanye.,Il fait froid ce matin.,It's cold this morning.,general,,,,
,musaza wanje araciye ubwenge,Mon frère est intelligent.,My brother is smart.,general,,,,
,"mwaramutse, mumeze gute?","Bonjour, comment allez-vous?","Good morning, how are you doing?",general,,,,
,mwoshorobora gutekeneza iki?,Pouvez-vous réparer cela?,Can you fix this?,general,,,,
,n'akazi gakorerwa hamwe nabandi,C'est un travail d'équipe.,It's teamwork.,general,,,,
,n'icivugo ciza c'urukundo,C'est une belle thème d'amour.,It's a beautiful love theme.,general,,,,
,n'uguhimbariza umwanya uwariwo wose.,Il faut profiter de chaque instant.,You have to enjoy every moment.,general,,,,
,nacererewe kwi bisi.,J'ai raté le bus.,I missed the bus.,general,,,,
,nakahe kazi kawe?,Quel est votre travail?,What is your job?,general,,,,
,nashaka aga kawa.,Je voudrais un café.,I would like a coffee.,general,,,,
,natakaje ingodo yanje,J'ai perdu mon portefeuille.,I lost my wallet.,general,,,,
,ndabifurije umunezero wuzuye,Je leur souhaite beaucoup de bonheur.,I wish them lots of happiness.,general,,,,
,ndafiseko amakenga.,J'ai quelques doutes.,I have some doubts.,general,,,,
,ndagerageza imisi yose kuba kw'isaha,J'essaie d'être toujours à l'heure.,I try to always be on time.,general,,,,
,ndagiye mukibanza cokwinonorer imitsi!,Je vais à la salle de sport.,I go to the gym.,general,,,,
,ndagwaye,Je suis malade.,I'm sick.,general,,,,
,ndakeneye ifu n'isukari,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,
,ndakeneye umusegetera.,J'ai besoin d'une moustiquaire.,I need a mosquito net.,general,,,,
,ndakunda akazi kanje.,J'aime mon travail.,I love my job.,general,,,,
,ndakunda kwoga mukiyaga,J'aime nager dans le lac.,I like swimming in the lake.,general,,,,
,ndakurindiririye aha. Ni utabazana turabonana !,"Je t'attends ici. Si tu ne les amènes pas, on va se rencontrer !","I'm waiting for you here. If you don't bring them, we'll meet!",general,,,,
,ndanywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,
,ndashaka kuzoja i Paris.,Je veux visiter Paris.,I want to visit Paris.,general,,,,
,ndashaka kwiga igifaransa.,Je veux apprendre le français.,I want to learn French.,general,,,,
,ndeka jenyene,Laisse-moi tranquille.,Leave me alone.,general,,,,
,ndemezanya ico ciyumviro,Je suis d'accord avec cette proposition.,I agree with this proposition.,general,,,,
,ndi muburuhuko,Je suis en vacances.,I'm on vacation.,general,,,,
,ndiko ndafata ivya mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,
,ndiko ndafata ivyo mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,
,ndiko ndanywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,
,ndiko numviriza indirimbo.,J'écoute de la musique.,I listen to music.,general,,,,
,nfashe ingingo,J'ai pris une décision.,I made a decision.,general,,,,
,ngira ndabikosore ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,
,ngira nfungure inrya,Je veux manger de la nourriture.,I want to eat food.,general,,,,
,ngiye gufata i tagisi.,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,
,ngiye gufata imodoka inyunguruza,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,
,ngiye ku kibanza c'Ikarashishi.,Je vais à la salle de sport.,I go to the gym.,general,,,,
,ngiye ku kibanza ca Ikarashishi.,Je vais à la salle de sport.,I go to the gym.,general,,,,
,ngiye kukazi.,Je vais au travail.,I'm going to work.,general,,,,
,ngiye noze amasahani,Je vais faire la vaisselle.,I'm going to do the dishes.,general,,,,
,ni icigwa gikomeye,C'est une leçon importante.,This is an important lesson.,general,,,,
,ni icirwa nkenerwa,C'est une leçon importante.,This is an important lesson.,general,,,,
,ni umunyabugenegene.,Elle est une artiste talentueuse.,She is a talented artist.,general,,,,
,ni umunyempano atangaje,Elle est une artiste talentueuse.,She is a talented artist.,general,,,,
,ni ururimi rugoye,C'est une langue difficile.,It's a difficult language.,general,,,,
,nibaza ko arivyo.,Je pense que oui.,I think so.,general,,,,
,nicigwa gihambaye,C'est une leçon importante.,This is an important lesson.,general,,,,
,nifuza amazi,Je veux de l'eau.,I want water.,general,,,,
,niga ubuhinga bwa none,J'étudie l'informatique.,I study computer science.,general,,,,
,nigira kumakosa yanje.,J'apprends de mes erreurs.,I learn from my mistakes.,general,,,,
,nikibazo kigoye,C'est une question difficile.,This is a difficult question.,general,,,,
,nikuberiki ushavuye?,Pourquoi es-tu en colère?,Why are you angry?,general,,,,
,nitwa samandari,Je m'appelle Samandari.,My name is Samandari.,general,,,,
,niyumva neza muri iki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,general,,,,
,niyumva neza mwiki gitondo.,Je me sens mieux ce matin.,I feel better this morning.,general,,,,
,nkeneye ifu n'isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,
,nkeneye ifu na isukari.,J'ai besoin de farine et de sucre.,I need flour and sugar.,general,,,,
,nkunda gutambuka nyaruka,Je préfère la marche rapide.,I prefer brisk walking.,general,,,,
,ntaco bitwaye.,Ce n'est pas grave.,It's not serious.,general,,,,
,ntakibazo.,Ne t'inquiète pas.,Don't worry.,general,,,,
,ntegerezwa kugura umukate,Je dois acheter du pain.,I have to buy bread.,general,,,,
,ntukigere ubesha narimwe.,Ne mens jamais.,Never lie.,general,,,,
,nza kuba ndi aha isaha cumi.,Je serai là à dix heures.,I'll be there at ten o'clock.,general,,,,
,papa wanje ni umurimyi.,Mon père est agriculteur.,My father is a farmer.,general,,,,
,reka ndabikosore ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,
,sinywa ivyambiye.,Je ne bois pas d'alcool.,I don't drink alcohol.,general,,,,
,tugiye mukaguriro.,Nous allons au supermarché.,We are going to the supermarket.,general,,,,
,turi muri ndamukiza.,Nous sommes en avril.,It's April.,general,,,,
,turiko turatambuka bukebuke.,Nous marchons lentement.,We walk slowly.,general,,,,
,twaguranye ibiharuro vyacu,Nous avons échangé nos numéros.,We exchanged numbers.,general,,,,
,twarashitse kuntumbero zacu.,Nous avons atteint nos objectifs.,We have achieved our objectives.,general,,,,
,uba hehe?,Où habitez-vous?,Where do you live?,general,,,,
,ubu ni uburiri.,Ceci est un lit.,This is a bed.,vocabulary,,,,
,ubutumwa bwanje bwabashikiriye?,Avez-vous reçu mon message?,Did you receive my message?,general,,,,
,ukwizegwa kuragoye kuronka.,La confiance est difficile à gagner.,Trust is hard to earn.,general,,,,
,umugambi waheze.,Le projet est terminé.,The project is finished.,general,,,,
,umuguzi ntiyashimishijwe,Le client n'est pas satisfait.,The customer is not satisfied.,general,,,,
,umugwi wakoze neza cane,L'équipe a très bien travaillé.,The team worked very well.,general,,,,
,umuriro wo mwifuru yo munzu urorohezenya cane.,Le feu dans la cheminée est confortable.,The fire in the fireplace is cozy.,general,,,,
,umuryango uruguruye.,La porte est ouverte.,The door is open.,general,,,,
,umwana ariko ararira.,Le bébé pleure.,The baby is crying.,general,,,,
,uragaba,Faites attention.,Be careful.,general,,,,
,uravuga icongereza,Parlez-vous l'anglais?,Do you speak English?,general,,,,
,uru ni urupapuro.,Ceci est un papier.,This is a paper.,vocabulary,,,,
,urutonde rw'ivyigwa ruri ku meza,La liste des cours est sur la table.,The course list is on the table.,general,,,,
,uyu muhingamo ni mwiza.,Cette journée est belle.,This day is beautiful.,general,,,,
,uyu ni umubikira.,Ceci est un religieuse.,This is a nun.,vocabulary,,,,
,"wohora uraraba: Iyo atajanye n’abavyeyi mu mirima, asigara ararondera impembo.","C'est beau à voir: quand il ne va pas aux champs avec ses parents,il reste en cherchant de quoi se nourrir.","It's beautiful to see: when he doesn't go to the fields with his parents, he stays looking for something to eat.",general,,,,
,woshobora kugura amata?,Peux-tu acheter du lait?,Can you buy milk?,general,,,,
,yiruka buri gatondo,Il court tous les matins.,He runs every morning.,general,,,,
,Éjo ní uwŭndi mŭsi.,Demain est un autre jour.,Tomorrow is another day.,proverbs,,,,
,èéeeeh ntùúze, heyyy toi là-bas,heyyy youu there.,jokes,,,,
,"Ēgó amamega yarádūze igicîro, Nōné nivyó bicá bítuma ubwîra umūntu mutāzinánye mu módoká rúsàángi ngo ""nsābīkaniriza ēntêrinèéti""?","Oui, le coût des forfaits d'interner est en hausse, mais est-ce maintenant socialement acceptable de transformer des inconnus en nos points d'accès mobiles dans les transports en commun ? Je veux dire, sommes-nous à l'ère de l'autostop du point d'accès ?","Yes, the cost of data bundles is skyrocketing, but is it now socially acceptable to turn strangers into our mobile hotspots in public transportation? I mean, are we living in the era of 'Hotspot Hitchhiking'?",jokes,,,,
,"Aba na bo bakaba bari mu karere Uburundi busanzwe burimwo, mu bihugu bibanyi nk’Urwanda, Tanzaniya, Republika iharanira Demokarasi ya Kongo hamwe n’igihugu c’Ubuganda",,,general,,,,"Il en existe également dans la région qui comprend le Burundi, dans les pays voisins comme le Rwanda, la Tanzanie, la République démocratique du Congo et l'Ouganda."
,Abacuzi batanyiyegereje ntibacura kuko mbanza kuborohereza ivyuma.,,,general,,,,Les forgerons qui ne m'approchent pas ne forgent pas car j'adoucisse d'abord le métal.
,Abafise amanota meza mu ndimi n'ibindi vyirwa bijanye na bo bashobora kubandanya amashure yisumbuye mu gisata c'indimi,,,general,,,,Ceux qui ont de bonnes notes en langues et dans d’autres matières connexes peuvent poursuivre leurs études secondaires dans des cours de langues.
,"Abafise ubumenyi bujanye n'ibiharuro, barashobora guhitamwo kubandanya amashure yisumbuye mu gisata c'ibiharuro n'ibindi vyirwa bijanye",,,general,,,,Ceux qui ont des connaissances liées aux mathématiques peuvent choisir de poursuivre leurs études secondaires dans le domaine des mathématiques et d’autres domaines connexes.
,Abagize Leta bava mu migambwe yashikanye igice kimwe ca mirongo ibiri c’amajwi mu matora kandi bakaba babishaka.,,,general,,,,Les membres de l'État quittent le parti qui a recueilli un tiers des voix lors de l'élection et sont disposés à le faire.
,Abagize Leta nibo bagena canke bagashikiriza abagenwa mu mabanga y’intwaro mu gihugu hamwe n’abaserukira Uburundi mu makungu.,,,general,,,,Les membres du gouvernement sont ceux qui nomment ou présentent ceux qui sont nommés dans les forces armées du pays et ceux qui représentent le Burundi dans le monde.
